title,bvid,link,play_count,uploader,cover
“哈基米の爱情买卖”,BV1r1421t73k,https://www.bilibili.com/video/BV1r1421t73k/,3746000,亚撒西の空白,https://i2.hdslb.com/bfs/archive/f6b0cbf43c0cca3a58116dad3ed2fadb090e4ed7.jpg@672w_378h_1c_!web-search-common-cover
古典哈基米：野哈飞舞,BV1LJ7ezJE59,https://www.bilibili.com/video/BV1LJ7ezJE59/,3285000,kizznoluv,https://i0.hdslb.com/bfs/archive/2194e21f859e461c5f3e931353dee883185813e8.jpg@672w_378h_1c_!web-search-common-cover
【中字】原来是炼金术士啊，我还以为是猫猫呢 | ネコかと思ったら錬金術師 | The Cat Alchemist,BV1Zwy3YjEk8,https://www.bilibili.com/video/BV1Zwy3YjEk8/,3139000,委蛇ノ原_radio,https://i1.hdslb.com/bfs/archive/36de82495c82a9e46444cfad3cc0867f04219823.jpg@672w_378h_1c_!web-search-common-cover
🎵太空曼波 𝑺𝒑𝒂𝒄𝒆 𝑾𝒂𝒍𝒌🎵哈基米纯音乐,BV1rdBZYNEu3,https://www.bilibili.com/video/BV1rdBZYNEu3/,3045000,还给我神ID,https://i0.hdslb.com/bfs/archive/e7d67c812302b5c666ccf2c15eded5af079b7e39.jpg@672w_378h_1c_!web-search-common-cover
【哈基米FM】大哈咒,BV1o8JazDEE2,https://www.bilibili.com/video/BV1o8JazDEE2/,2361000,kizznoluv,https://i0.hdslb.com/bfs/archive/b3f07d1bdd4aa179d1fd072a65d3848ffa80f28e.jpg@672w_378h_1c_!web-search-common-cover
【THA】金基米奖提名 投票选出你的年度最佳哈基米,BV1DXruYXEnE,https://www.bilibili.com/video/BV1DXruYXEnE/,1773000,せきらん雲,https://i0.hdslb.com/bfs/archive/a59327a84fffbe8e0535a4b2cf8fb9f6c7b2350e.jpg@672w_378h_1c_!web-search-common-cover
【哈基米FM】牵私人戏,BV1mvcEeRE5s,https://www.bilibili.com/video/BV1mvcEeRE5s/,1761000,65折,https://i2.hdslb.com/bfs/archive/8d60602834076ae1977def8f67f9e0ee0e02cd0e.jpg@672w_378h_1c_!web-search-common-cover
来去曼波🎵加长版,BV1VJEfzJEkx,https://www.bilibili.com/video/BV1VJEfzJEkx/,1737000,还给我神ID,https://i0.hdslb.com/bfs/archive/ebf405f7d30e09b57b130de86bcbfb045a0fde44.jpg@672w_378h_1c_!web-search-common-cover
哈基米Phonk音乐之This Feeling完整版,BV1vPigeqEtG,https://www.bilibili.com/video/BV1vPigeqEtG/,1723000,DJGenji,https://i1.hdslb.com/bfs/archive/c8b78b64b5f810b9c520c032c21fac38c4b9f0ee.jpg@672w_378h_1c_!web-search-common-cover
【哈基米FM】JOJO哈基之风 黑帮摇,BV1VaoRYfEZH,https://www.bilibili.com/video/BV1VaoRYfEZH/,1700000,65折,https://i2.hdslb.com/bfs/archive/cba4a106a354a40460c7aaee3265d3c411545e84.jpg@672w_378h_1c_!web-search-common-cover
🐱世上最小的哈基米🐱World's Smallest Violin,BV1cUXdYAEsu,https://www.bilibili.com/video/BV1cUXdYAEsu/,1615000,还给我神ID,https://i0.hdslb.com/bfs/archive/4a72081c8766e115e29feab65a2ce1c2da267eb8.jpg@672w_378h_1c_!web-search-common-cover
古典哈基米：月光奏鸣曲第三乐章,BV14yjuzwE2u,https://www.bilibili.com/video/BV14yjuzwE2u/,1585000,葉月シロ,https://i2.hdslb.com/bfs/archive/ec76dceffdaa7a748e689c093d25e6a8e78456b5.jpg@672w_378h_1c_!web-search-common-cover
“那些火遍全网的神人哈基米音乐”,BV1bqE9zaEZ3,https://www.bilibili.com/video/BV1bqE9zaEZ3/,1392000,木落Ch,https://i0.hdslb.com/bfs/archive/5da57948fbe6580efe8ee63d163385b2e15d2bb9.jpg@672w_378h_1c_!web-search-common-cover
🐱星基穿越🐱,BV1kydQYFELi,https://www.bilibili.com/video/BV1kydQYFELi/,1276000,还给我神ID,https://i0.hdslb.com/bfs/archive/143823c78d5d3d4b95f7ed13ce6bf6653aec95cb.jpg@672w_378h_1c_!web-search-common-cover
【4月】哈基米音乐排行榜#7,BV1HzV5zFEoV,https://www.bilibili.com/video/BV1HzV5zFEoV/,1198000,せきらん雲,https://i0.hdslb.com/bfs/archive/66d3c1c169173dc99d9cf6ae34eeec211b10bbcc.jpg@672w_378h_1c_!web-search-common-cover
《野哈飞舞》光速吟唱,BV1TLMnzGEW4,https://www.bilibili.com/video/BV1TLMnzGEW4/,1078000,杨杏仁Aries,https://i1.hdslb.com/bfs/archive/750a6f4e96e8dd0f88417cb534e86355ed52e9ec.jpg@672w_378h_1c_!web-search-common-cover
哈基米笑传之床藏宝,BV1tCwkehET2,https://www.bilibili.com/video/BV1tCwkehET2/,1011000,神の究极风暴,https://i0.hdslb.com/bfs/archive/61801f4f1c9fbd1fbaff94a0c2bbdd97a030f705.jpg@672w_378h_1c_!web-search-common-cover
哈基蛇的速度是哈基米的7倍🐍🐱,BV1hnjvzCEX2,https://www.bilibili.com/video/BV1hnjvzCEX2/,942000,老张呀叻,https://i1.hdslb.com/bfs/archive/e633c72cd03cd849bb6e9c54cc82109f848ffdce.jpg@672w_378h_1c_!web-search-common-cover
哈基米\曼波抢麦赛之⚡这是人能听的吗,BV1UjEuzMEEr,https://www.bilibili.com/video/BV1UjEuzMEEr/,928000,苏小轩酱吖,https://i1.hdslb.com/bfs/archive/3f120a954cd08865a71f5c5123059d2c57331179.jpg@672w_378h_1c_!web-search-common-cover
哈基汪笑传之护错崽🐶🐱,BV1sEJVzjEZG,https://www.bilibili.com/video/BV1sEJVzjEZG/,909000,老张呀叻,https://i0.hdslb.com/bfs/archive/a75b31f34328cb4ed8f72364b7945481910ced32.jpg@672w_378h_1c_!web-search-common-cover
古典哈基米音乐《四基 · 冬 》,BV13LERziEiP,https://www.bilibili.com/video/BV13LERziEiP/,896000,公生憧憬者,https://i2.hdslb.com/bfs/archive/567f22f5d22247dec9b74b8adc729a6f2df4615d.jpg@672w_378h_1c_!web-search-common-cover
你可能不认识我，但你一定听过我改编的勾石音乐,BV1SwVfzAEs5,https://www.bilibili.com/video/BV1SwVfzAEs5/,879000,暗杠读秒p,https://i2.hdslb.com/bfs/archive/c8ea75c8e38aa9b5f8d54ebb154afefc96bfd941.jpg@672w_378h_1c_!web-search-common-cover
⚡MAGENTA POTION 哈基米药水⚡ 完整版,BV1e5jGzJEKC,https://www.bilibili.com/video/BV1e5jGzJEKC/,847000,强者来了374,https://i0.hdslb.com/bfs/archive/5ac49af8651000e43e34372d1bbc788329c74131.jpg@672w_378h_1c_!web-search-common-cover
伤感活全家哈基米音乐之穿越时空的哈基米,BV1sDQyYMEdh,https://www.bilibili.com/video/BV1sDQyYMEdh/,801000,静止的海平面seaplane,https://i1.hdslb.com/bfs/archive/5bea9c2fd2b471d5c3859e2ff13c3d935d62c8c4.jpg@672w_378h_1c_!web-search-common-cover
🎵哈基博士🎵,BV1tuEAzUEgx,https://www.bilibili.com/video/BV1tuEAzUEgx/,754000,Sh1awase,https://i1.hdslb.com/bfs/archive/34809ca32d06685774d206f48b701bee4b1266cf.jpg@672w_378h_1c_!web-search-common-cover
【补档】孤独的哈基米（完整版）,BV1Bx9fYBEr2,https://www.bilibili.com/video/BV1Bx9fYBEr2/,745000,还给我神ID,https://i0.hdslb.com/bfs/archive/185626227c77ac8fc122d63eed1d6e734c50adc3.jpg@672w_378h_1c_!web-search-common-cover
⚡约 德 尔 曼 波⚡,BV1KUMAzdEaZ,https://www.bilibili.com/video/BV1KUMAzdEaZ/,707000,希灵empire,https://i2.hdslb.com/bfs/archive/fff574c7ab17d7dfd3da3e9434419cd5e1e94fa1.jpg@672w_378h_1c_!web-search-common-cover
哈基米音乐里那些堪称天才的神人名句。,BV1DWY8eyE8s,https://www.bilibili.com/video/BV1DWY8eyE8s/,663000,鼻血黄豆,https://i2.hdslb.com/bfs/archive/be83efda5e44912b2c10292e1d857115704381a4.jpg@672w_378h_1c_!web-search-common-cover
活全家音乐：愤怒的哈基米,BV1GJWLeSEzP,https://www.bilibili.com/video/BV1GJWLeSEzP/,658000,阿頼耶アーラヤ,https://i0.hdslb.com/bfs/archive/82d8937c8227889ec20095fddb34edb5e79b233d.jpg@672w_378h_1c_!web-search-common-cover
【3月】哈基米音乐排行榜#6,BV1TddXYrEgh,https://www.bilibili.com/video/BV1TddXYrEgh/,645000,せきらん雲,https://i2.hdslb.com/bfs/archive/5fbfa5f225897361ae8021baa802efffe38febc4.jpg@672w_378h_1c_!web-search-common-cover
古典哈基米：威廉退尔序曲,BV1ngToztEMC,https://www.bilibili.com/video/BV1ngToztEMC/,620000,伏尸王结城友奈,https://i0.hdslb.com/bfs/archive/7b79fbc6c9b5469c832a3e336113d88f5045a354.jpg@672w_378h_1c_!web-search-common-cover
